b0001	thrL	ECK0001	P0AD86
b3095	yqjA	ECK3086	P0AA63
b3096	mzrA	ECK3087	P42615
b3097	yqjC	ECK3088	P42616
b3098	yqjD	ECK3089	P64581
b3099	yqjE	ECK3090	P64585
b3100	yqjK	ECK3091	Q47710
b3101	yqjF	ECK3092	P42619
b3102	yqjG	ECK3093	P42620
b3103	yhaH	ECK3094	P64590
b3104	yhaI	ECK3095	P64592
b3105	yhaJ	ECK3096	P67660
b3106	yhaK	ECK3097	P42624
b3107	yhaL	ECK3098	P42625
b4470	yhaM	ECK3099	P42626
b3110	yhaO	ECK3100	P42628
b4471	tdcG	ECK3101	P42630
b3113	tdcF	ECK3102	P0AGL2
b3114	tdcE	ECK3103	P42632
b3115	tdcD	ECK3104	P11868
b3116	tdcC	ECK3105	P0AAD8
b3117	tdcB	ECK3106	P0AGF6
b3118	tdcA	ECK3107	P0ACQ7
b3119	tdcR	ECK3108	P11866
b3120	yhaB	ECK3109	P11865
b3121	yhaC	ECK3110	P11864
b3124	garK	ECK3112	P23524
b3125	garR	ECK3113	P0ABQ2
b3126	garL	ECK3114	P23522
b3127	garP	ECK3115	P0AA80
b3128	garD	ECK3116	P39829
b3129	prlF	ECK3117	P15373
b3130	yhaV	ECK3118	P64594
b3131	agaR	ECK3119	P0ACK2
b3132	kbaZ	ECK3120	P0C8K0
b3133	agaV	ECK3121	P42904
b3136	agaS	ECK3124	P42907
b3137	kbaY	ECK3125	P0AB74
b3138	agaB	ECK3126	P42909
b3139	agaC	ECK3127	P42910
b3140	agaD	ECK3128	P42911
b3141	agaI	ECK3129	P42912
b3142	yraH	ECK3130	P42913
b3143	yraI	ECK3131	P42914
b3144	yraJ	ECK3132	P42915
b3145	yraK	ECK3133	P43319
b3146	rsmI	ECK3134	P67087
b3147	lpoA	ECK3135	P45464
b3148	yraN	ECK3136	P45465
b3149	diaA	ECK3137	P66817
b3150	yraP	ECK3138	P64596
b3151	yraQ	ECK3139	P45468
b3152	yraR	ECK3140	P45469
b3153	yhbO	ECK3141	P45470
b3154	yhbP	ECK3142	P67762
b3155	yhbQ	ECK3143	P45472
b3156	yhbS	ECK3144	P63417
b3157	yhbT	ECK3145	P64599
b3158	yhbU	ECK3146	P45527
b3159	yhbV	ECK3147	P45475
b3160	yhbW	ECK3148	P0ADV5
b3161	mtr	ECK3149	P0AAD2
b3162	deaD	ECK3150	P0A9P6
b4685	yrbN	ECK4500	C1P618
b3163	nlpI	ECK3151	P0AFB1
b3164	pnp	ECK3152	P05055
b3165	rpsO	ECK3154	P0ADZ4
b3166	truB	ECK3155	P60340
b3167	rbfA	ECK3156	P0A7G2
b3168	infB	ECK3157	P0A705
b3169	nusA	ECK3158	P0AFF6
b3170	rimP	ECK3159	P0A8A8
b3172	argG	ECK3161	P0A6E4
b3173	yhbX	ECK3162	P42640
b3175	secG	ECK3164	P0AG99
b3176	glmM	ECK3165	P31120
b3177	folP	ECK3166	P0AC13
b3178	ftsH	ECK3167	P0AAI3
b3179	rlmE	ECK3168	P0C0R7
b3180	yhbY	ECK3169	P0AGK4
b3181	greA	ECK3170	P0A6W5
b3182	dacB	ECK3171	P24228
b3183	obgE	ECK3172	P42641
b3184	yhbE	ECK3173	P0AA73
b3185	rpmA	ECK3174	P0A7L8
b3186	rplU	ECK3175	P0AG48
b3187	ispB	ECK3176	P0AD57
b3188	sfsB	ECK3177	P0ACH1
b3189	murA	ECK3178	P0A749
b3190	ibaG	ECK3179	P0A9W6
b3191	mlaB	ECK3180	P64602
b3192	mlaC	ECK3181	P0ADV7
b3193	mlaD	ECK3182	P64604
b3194	mlaE	ECK3183	P64606
b3195	mlaF	ECK3184	P63386
b3196	yrbG	ECK3185	P45394
b3197	kdsD	ECK3186	P45395
b3198	kdsC	ECK3187	P0ABZ4
b3199	lptC	ECK3188	P0ADV9
b3200	lptA	ECK3189	P0ADV1
b3201	lptB	ECK3190	P0A9V1
b3202	rpoN	ECK3191	P24255
b3203	hpf	ECK3192	P0AFX0
b3204	ptsN	ECK3193	P69829
b3205	yhbJ	ECK3194	P0A894
b3206	npr	ECK3195	P0A9N0
b3207	yrbL	ECK3196	P64610
b3208	mtgA	ECK3197	P46022
b3209	elbB	ECK3198	P0ABU5
b3210	arcB	ECK3200	P0AEC3
b3211	yhcC	ECK3201	P0ADW6
b3212	gltB	ECK3202	P09831
b3213	gltD	ECK3203	P09832
b3214	gltF	ECK3204	P28721
b3215	yhcA	ECK3205	P28722
b3216	yhcD	ECK3206	P45420
b3218	insH1	ECK0261	P0CE57
b3219	yhcF	ECK3208	P45422
b3220	yhcG	ECK3209	P45423
b3221	yhcH	ECK3210	P45424
b3222	nanK	ECK3211	P45425
b3223	nanE	ECK3212	P0A761
b3224	nanT	ECK3213	P41036
b3225	nanA	ECK3214	P0A6L4
b3226	nanR	ECK3215	P0A8W0
b3227	dcuD	ECK3216	P45428
b3228	sspB	ECK3217	P0AFZ3
b3229	sspA	ECK3218	P0ACA3
b3230	rpsI	ECK3219	P0A7X3
b3231	rplM	ECK3220	P0AA10
b3232	yhcM	ECK3221	P64612
b3233	yhcB	ECK3222	P0ADW3
b3234	degQ	ECK3223	P39099
b3235	degS	ECK3224	P0AEE3
b3236	mdh	ECK3225	P61889
b3237	argR	ECK3226	P0A6D0
b3238	yhcN	ECK3227	P64614
b3239	yhcO	ECK3228	P64616
b3240	aaeB	ECK3229	P46481
b3241	aaeA	ECK3230	P46482
b3242	aaeX	ECK3231	P46478
b3243	aaeR	ECK3232	P67662
b3244	tldD	ECK3233	P0AGG8
b4472	yhdP	ECK3234	P46474
b3247	rng	ECK3235	P0A9J0
b3248	yhdE	ECK3236	P25536
b3249	mreD	ECK3237	P0ABH4
b3250	mreC	ECK3238	P16926
b3251	mreB	ECK3239	P0A9X4
b3252	csrD	ECK3240	P13518
b3253	acuI	ECK3241	P26646
b3255	accB	ECK3242	P0ABD8
b3256	accC	ECK3243	P24182
b3257	yhdT	ECK3244	P45566
b3258	panF	ECK3245	P16256
b3259	prmA	ECK3246	P0A8T1
b3260	dusB	ECK3247	P0ABT5
b3261	fis	ECK3248	P0A6R3
b3262	yhdJ	ECK3249	P28638
b3263	yhdU	ECK3250	P64619
b3264	acrS	ECK3251	P0ACT2
b3265	acrE	ECK3252	P24180
b3266	acrF	ECK3253	P24181
b3267	yhdV	ECK3254	P64622
b3269	yhdX	ECK3256	P45767
b3270	yhdY	ECK3257	P45768
b3271	yhdZ	ECK3258	P45769
b3279	yrdA	ECK3266	P0A9W9
b3280	yrdB	ECK3267	P45795
b3281	aroE	ECK3268	P15770
b3282	tsaC	ECK3269	P45748
b3283	yrdD	ECK3270	P45771
b3284	smg	ECK3271	P0A828
b4473	smf	ECK3272	P30852
b3287	def	ECK3273	P0A6K3
b3288	fmt	ECK3274	P23882
b3289	rsmB	ECK3275	P36929
b3290	trkA	ECK3276	P0AGI8
b3291	mscL	ECK3277	P0A742
b4550	arfA	ECK3278	P36675
b3292	zntR	ECK3279	P0ACS5
b3293	yhdN	ECK3280	P36677
b3294	rplQ	ECK3281	P0AG44
b3295	rpoA	ECK3282	P0A7Z4
b3296	rpsD	ECK3283	P0A7V8
b3297	rpsK	ECK3284	P0A7R9
b3298	rpsM	ECK3285	P0A7S9
b3299	rpmJ	ECK3286	P0A7Q6
b3300	secY	ECK3287	P0AGA2
b3301	rplO	ECK3288	P02413
b3302	rpmD	ECK3289	P0AG51
b3303	rpsE	ECK3290	P0A7W1
b3304	rplR	ECK3291	P0C018
b3305	rplF	ECK3292	P0AG55
b3306	rpsH	ECK3293	P0A7W7
b3307	rpsN	ECK3294	P0AG59
b3308	rplE	ECK3295	P62399
b3309	rplX	ECK3296	P60624
b3310	rplN	ECK3297	P0ADY3
b3311	rpsQ	ECK3298	P0AG63
b3312	rpmC	ECK3299	P0A7M6
b3313	rplP	ECK3300	P0ADY7
b3314	rpsC	ECK3301	P0A7V3
b3315	rplV	ECK3302	P61175
b3316	rpsS	ECK3303	P0A7U3
b3317	rplB	ECK3304	P60422
b3318	rplW	ECK3305	P0ADZ0
b3319	rplD	ECK3306	P60723
b3320	rplC	ECK3307	P60438
b3321	rpsJ	ECK3308	P0A7R5
b3322	gspB	ECK3309	P03825
b3323	gspA	ECK3310	P45756
b3324	gspC	ECK3311	P45757
b3325	gspD	ECK3312	P45758
b3326	gspE	ECK3313	P45759
b3327	gspF	ECK3314	P41441
b3328	gspG	ECK3315	P41442
b3329	gspH	ECK3316	P41443
b3330	gspI	ECK3317	P45760
b3331	gspJ	ECK3318	P45761
b3332	gspK	ECK3319	P45762
b3333	gspL	ECK3320	P45763
b3334	gspM	ECK3321	P36678
b3335	gspO	ECK3322	P25960
b3336	bfr	ECK3323	P0ABD3
b3337	bfd	ECK3324	P0AE56
b3338	chiA	ECK3325	P13656
b3339	tufA	ECK3326	P0CE47
b3340	fusA	ECK3327	P0A6M8
b3341	rpsG	ECK3328	P02359
b3342	rpsL	ECK3329	P0A7S3
b3343	tusB	ECK3330	P45530
b3344	tusC	ECK3331	P45531
b3345	tusD	ECK3332	P45532
b3346	yheO	ECK3333	P64624
b3347	fkpA	ECK3334	P45523
b3348	slyX	ECK3335	P0A8R4
b3349	slyD	ECK3336	P0A9K9
b4551	yheV	ECK3337	P0ADW8
b3350	kefB	ECK3338	P45522
b3351	kefG	ECK3339	P0A756
b3352	yheS	ECK3340	P63389
b3353	yheT	ECK3341	P45524
b3354	yheU	ECK3342	P67624
b3355	prkB	ECK3343	P0AEX5
b3356	yhfA	ECK3344	P0ADX1
b3357	crp	ECK3345	P0ACJ8
b3358	yhfK	ECK3346	P45537
b3359	argD	ECK3347	P18335
b3360	pabA	ECK3348	P00903
b3361	fic	ECK3349	P20605
b3362	yhfG	ECK3350	P0ADX5
b3363	ppiA	ECK3351	P0AFL3
b3364	tsgA	ECK3352	P60778
b3365	nirB	ECK3353	P08201
b3366	nirD	ECK3354	P0A9I8
b3367	nirC	ECK3355	P0AC26
b3368	cysG	ECK3356	P0AEA8
b3369	yhfL	ECK3357	P64627
b3370	frlA	ECK3358	P45539
b3371	frlB	ECK3359	P0AC00
b4474	frlC	ECK3360	P45541
b3374	frlD	ECK3361	P45543
b3375	frlR	ECK3362	P45544
b3376	yhfS	ECK3363	P45545
b3377	yhfT	ECK3364	P45546
b3378	yhfU	ECK3365	P64631
b3379	php	ECK3366	P45548
b3380	yhfW	ECK3367	P45549
b3381	yhfX	ECK3368	P45550
b3382	yhfY	ECK3369	P45551
b3383	yhfZ	ECK3370	P45552
b3384	trpS	ECK3371	P00954
b3385	gph	ECK3372	P32662
b3386	rpe	ECK3373	P0AG07
b3387	dam	ECK3374	P0AEE8
b3388	damX	ECK3375	P11557
b3389	aroB	ECK3376	P07639
b3390	aroK	ECK3377	P0A6D7
b3391	hofQ	ECK3378	P34749
b3392	hofP	ECK3379	P45750
b3393	hofO	ECK3380	P45751
b3394	hofN	ECK3381	P64634
b3395	hofM	ECK3382	P45753
b3396	mrcA	ECK3383	P02918
b3397	nudE	ECK3384	P45799
b3398	yrfF	ECK3385	P45800
b3399	yrfG	ECK3386	P64636
b3400	hslR	ECK3387	P0ACG8
b3401	hslO	ECK3388	P0A6Y5
b3402	yhgE	ECK3389	P45804
b3403	pck	ECK3390	P22259
b3404	envZ	ECK3391	P0AEJ4
b3405	ompR	ECK3392	P0AA16
b3406	greB	ECK3393	P30128
b3407	yhgF	ECK3394	P46837
b3408	feoA	ECK3395	P0AEL3
b3409	feoB	ECK3396	P33650
b3410	feoC	ECK3397	P64638
b3411	yhgA	ECK3398	P31667
b3412	bioH	ECK3399	P13001
b3413	gntX	ECK3400	P46846
b3414	nfuA	ECK3401	P63020
b3415	gntT	ECK3402	P39835
b3416	malQ	ECK3403	P15977
b3417	malP	ECK3404	P00490
b3418	malT	ECK3405	P06993
b4475	rtcA	ECK3406	P46849
b3421	rtcB	ECK3407	P46850
b3422	rtcR	ECK3408	P38035
b3424	glpG	ECK3410	P09391
b3425	glpE	ECK3411	P0A6V5
b3426	glpD	ECK3412	P13035
b3428	glgP	ECK3414	P0AC86
b3429	glgA	ECK3415	P0A6U8
b3430	glgC	ECK3416	P0A6V1
b3431	glgX	ECK3417	P15067
b3432	glgB	ECK3418	P07762
b3433	asd	ECK3419	P0A9Q9
b3434	yhgN	ECK3420	P67143
b4476	gntU	ECK3421	P0AC96
b3437	gntK	ECK3422	P46859
b3438	gntR	ECK3423	P0ACP5
b3439	yhhW	ECK3424	P46852
b3440	yhhX	ECK3425	P46853
b3441	yhhY	ECK3427	P46854
b3442	yhhZ	ECK3428	P46855
b3444	insA	ECK4556	P0CF11
b3445	insB1	ECK0022	P0CF28
b3446	yrhB	ECK3430	P46857
b3447	ggt	ECK3431	P18956
b3448	yhhA	ECK3432	P0ADX7
b3449	ugpQ	ECK3433	P10908
b3450	ugpC	ECK3434	P10907
b3451	ugpE	ECK3435	P10906
b3452	ugpA	ECK3436	P10905
b3453	ugpB	ECK3437	P0AG80
b3454	livF	ECK3438	P22731
b3455	livG	ECK3439	P0A9S7
b3456	livM	ECK3440	P22729
b3457	livH	ECK3441	P0AEX7
b3458	livK	ECK3442	P04816
b3459	panM	ECK3443	P37613
b3460	livJ	ECK3444	P0AD96
b3461	rpoH	ECK3445	P0AGB3
b3462	ftsX	ECK3446	P0AC30
b3463	ftsE	ECK3447	P0A9R7
b3464	ftsY	ECK3448	P10121
b3465	rsmD	ECK3449	P0ADX9
b3466	yhhL	ECK3450	P37614
b3467	yhhM	ECK3451	P37615
b3468	yhhN	ECK3452	P0ADI9
b3469	zntA	ECK3453	P37617
b3470	tusA	ECK3454	P0A890
b3471	yhhQ	ECK3455	P37619
b3472	dcrB	ECK3456	P0AEE1
b3473	yhhS	ECK3457	P37621
b3474	yhhT	ECK3458	P0AGM0
b3475	acpT	ECK3459	P37623
b3476	nikA	ECK3460	P33590
b3477	nikB	ECK3461	P33591
b3478	nikC	ECK3462	P0AFA9
b3479	nikD	ECK3463	P33593
b3480	nikE	ECK3464	P33594
b3481	nikR	ECK3465	P0A6Z6
b3482	rhsB	ECK3466	P16917
b3483	yhhH	ECK3467	P28911
b3484	yhhI	ECK3469	P28912
b3485	yhhJ	ECK3470	P0AGH1
b3486	rbbA	ECK3471	P37624
b3487	yhiI	ECK3472	P37626
b3488	yhiJ	ECK3473	P37627
b3491	yhiM	ECK3476	P37630
b3492	yhiN	ECK3477	P37631
b3493	pitA	ECK3478	P0AFJ7
b3494	uspB	ECK3479	P0A8S5
b3495	uspA	ECK3480	P0AED0
b3496	dtpB	ECK3481	P36837
b3497	rsmJ	ECK3482	P68567
b3498	prlC	ECK3483	P27298
b3499	rlmJ	ECK3484	P37634
b3500	gor	ECK3485	P06715
b4613	dinQ	ECK4422	A5A624
b3501	arsR	ECK3486	P37309
b3502	arsB	ECK3487	P0AB93
b3503	arsC	ECK3488	P0AB96
b3505	insH1	ECK0261	P0CE58
b3506	slp	ECK3490	P37194
b3507	dctR	ECK3491	P37195
b3508	yhiD	ECK3492	P0AFV2
b3509	hdeB	ECK3493	P0AET2
b3510	hdeA	ECK3494	P0AES9
b3511	hdeD	ECK3495	P0AET5
b3512	gadE	ECK3496	P63204
b3513	mdtE	ECK3497	P37636
b3514	mdtF	ECK3498	P37637
b3515	gadW	ECK3499	P63201
b3516	gadX	ECK3501	P37639
b3517	gadA	ECK3502	P69908
b3518	yhjA	ECK3503	P37197
b3519	treF	ECK3504	P62601
b3520	yhjB	ECK3505	P37640
b3521	yhjC	ECK3506	P37641
b3522	yhjD	ECK3507	P37642
b3523	yhjE	ECK3508	P37643
b3524	yhjG	ECK3509	P37645
b3525	yhjH	ECK3510	P37646
b3526	kdgK	ECK3511	P37647
b3527	yhjJ	ECK3512	P37648
b3528	dctA	ECK3513	P0A830
b3529	yhjK	ECK3514	P37649
b3530	bcsC	ECK3515	P37650
b3531	bcsZ	ECK3516	P37651
b3532	bcsB	ECK3517	P37652
b3533	bcsA	ECK3518	P37653
b3535	yhjR	ECK3520	P0ADJ3
b3536	bcsE	ECK3521	P37657
b3537	bcsF	ECK3522	P0ADJ5
b3538	bcsG	ECK3523	P37659
b4453	ldrD	ECK3524	Q6BF25
b3539	yhjV	ECK3526	P37660
b3540	dppF	ECK3527	P37313
b3541	dppD	ECK3528	P0AAG0
b3542	dppC	ECK3529	P0AEG1
b3543	dppB	ECK3530	P0AEF8
b3544	dppA	ECK3531	P23847
b3546	eptB	ECK3533	P37661
b3547	yhjX	ECK3534	P37662
b3548	yhjY	ECK3535	P37663
b3549	tag	ECK3536	P05100
b3550	yiaC	ECK3537	P37664
b3551	bisC	ECK3538	P20099
b3552	yiaD	ECK3539	P37665
b3553	ghrB	ECK3540	P37666
b3554	yiaF	ECK3541	P0ADK0
b3555	yiaG	ECK3542	P0A9V5
b3556	cspA	ECK3543	P0A9X9
b4455	hokA	ECK3544	P37305
b3557	insJ	ECK3545	P19768
b3558	insK	ECK3546	P19769
b3559	glyS	ECK3547	P00961
b3560	glyQ	ECK3548	P00960
b4553	ysaB	ECK3549	Q2M7M3
b3561	wecH	ECK3550	P37669
b3562	yiaA	ECK3551	P0ADJ8
b3563	yiaB	ECK3552	P11286
b3564	xylB	ECK3553	P09099
b3565	xylA	ECK3554	P00944
b3566	xylF	ECK3555	P37387
b3567	xylG	ECK3556	P37388
b3568	xylH	ECK3557	P0AGI4
b3569	xylR	ECK3558	P0ACI3
b3570	bax	ECK3559	P27297
b3571	malS	ECK3560	P25718
b3572	avtA	ECK3561	P09053
b3573	ysaA	ECK3562	P56256
b3574	yiaJ	ECK3563	P37671
b3575	yiaK	ECK3564	P37672
b3576	yiaL	ECK3565	P37673
b3577	yiaM	ECK3566	P37674
b3578	yiaN	ECK3567	P37675
b3579	yiaO	ECK3568	P37676
b3580	lyxK	ECK3569	P37677
b3581	sgbH	ECK3570	P37678
b3582	sgbU	ECK3571	P37679
b3583	sgbE	ECK3572	P37680
b3584	yiaT	ECK3573	P37681
b3585	yiaU	ECK3574	P37682
b3586	yiaV	ECK3575	P37683
b3587	yiaW	ECK3576	P0ADK4
b3588	aldB	ECK3577	P37685
b3589	yiaY	ECK3578	P37686
b3590	selB	ECK3579	P14081
b3591	selA	ECK3580	P0A821
b3592	yibF	ECK3581	P0ACA1
b3593	rhsA	ECK3582	P16916
b3594	yibA	ECK3583	P0ADK6
b3596	yibG	ECK3585	P32106
b3597	yibH	ECK3586	P0AFV0
b3598	yibI	ECK3587	P32108
b3599	mtlA	ECK3588	P00550
b3600	mtlD	ECK3589	P09424
b3601	mtlR	ECK3590	P0AF10
b4554	yibT	ECK3591	Q2M7R5
b3602	yibL	ECK3592	P0ADK8
b3603	lldP	ECK3593	P33231
b3604	lldR	ECK3594	P0ACL7
b3605	lldD	ECK3595	P33232
b3606	trmL	ECK3596	P0AGJ7
b3607	cysE	ECK3597	P0A9D4
b3608	gpsA	ECK3598	P0A6S7
b3609	secB	ECK3599	P0AG86
b3610	grxC	ECK3600	P0AC62
b3611	yibN	ECK3601	P0AG27
b3612	gpmM	ECK3602	P37689
b3613	envC	ECK3603	P37690
b3614	yibQ	ECK3604	P37691
b3615	waaH	ECK3605	P11290
b3616	tdh	ECK3606	P07913
b3617	kbl	ECK3607	P0AB77
b3618	yibB	ECK3608	P25666
b3619	hldD	ECK3609	P67910
b3620	waaF	ECK3610	P37692
b3621	waaC	ECK3611	P24173
b3622	waaL	ECK3612	P27243
b3623	waaU	ECK3613	P27242
b3624	waaZ	ECK3614	P27241
b3625	waaY	ECK3615	P27240
b3626	waaJ	ECK3616	P27129
b3627	waaR	ECK3617	P27128
b3628	waaB	ECK3618	P27127
b3629	waaS	ECK3619	P27126
b3630	waaP	ECK3620	P25741
b3631	waaG	ECK3621	P25740
b3632	waaQ	ECK3622	P25742
b3633	waaA	ECK3623	P0AC75
b3634	coaD	ECK3624	P0A6I6
b3635	mutM	ECK3625	P05523
b3636	rpmG	ECK3626	P0A7N9
b3637	rpmB	ECK3627	P0A7M2
b3638	yicR	ECK3628	P25531
b3639	dfp	ECK3629	P0ABQ0
b3640	dut	ECK3630	P06968
b3641	slmA	ECK3631	P0C093
b3642	pyrE	ECK3632	P0A7E3
b3644	yicC	ECK3634	P23839
b3645	dinD	ECK3635	P23840
b3646	yicG	ECK3636	P0AGM2
b3647	ligB	ECK3637	P25772
b3648	gmk	ECK3638	P60546
b3649	rpoZ	ECK3639	P0A800
b3650	spoT	ECK3640	P0AG24
b3651	trmH	ECK3641	P0AGJ2
b3652	recG	ECK3642	P24230
b3653	gltS	ECK3643	P0AER8
b3654	xanP	ECK3644	P0AGM9
b3655	yicH	ECK3645	P31433
b3656	yicI	ECK3646	P31434
b3657	yicJ	ECK3647	P31435
b3659	setC	ECK3649	P31436
b3660	yicL	ECK3650	P31437
b3661	nlpA	ECK3651	P04846
b4555	yicS	ECK3652	Q2M7X4
b3662	nepI	ECK3653	P0ADL1
b3663	yicN	ECK3654	P0ADL3
b3664	yicO	ECK3655	P31440
b3665	ade	ECK3656	P31441
b3666	uhpT	ECK3657	P0AGC0
b3667	uhpC	ECK3658	P09836
b3668	uhpB	ECK3659	P09835
b3669	uhpA	ECK3660	P0AGA6
b3670	ilvN	ECK3661	P0ADF8
b3671	ilvB	ECK3662	P08142
b3672	ivbL	ECK3663	P03061
b4618	tisB	ECK4427	A5A627
b3673	emrD	ECK3664	P31442
b3674	yidF	ECK3665	P31443
b3675	yidG	ECK3666	P0ADL6
b3676	yidH	ECK3667	P0ADM0
b3677	yidI	ECK3668	P31446
b3678	yidJ	ECK3669	P31447
b3679	yidK	ECK3670	P31448
b3680	yidL	ECK3671	P31449
b3684	yidP	ECK3676	P31453
b3685	yidE	ECK3677	P60872
b3686	ibpB	ECK3678	P0C058
b3687	ibpA	ECK3679	P0C054
b3688	yidQ	ECK3680	P0ADM4
b3689	yidR	ECK3681	P31455
b3690	cbrA	ECK3682	P31456
b3691	dgoT	ECK3683	P0AA76
b4478	dgoD	ECK3684	Q6BF17
b4477	dgoA	ECK3685	Q6BF16
b3693	dgoK	ECK3686	P31459
b4479	dgoR	ECK3687	P31460
b3696	yidX	ECK3688	P0ADM6
b3697	yidA	ECK3689	P0A8Y5
b3698	yidB	ECK3690	P09996
b3699	gyrB	ECK3691	P0AES6
b3700	recF	ECK3692	P0A7H0
b3701	dnaN	ECK3693	P0A988
b3702	dnaA	ECK3694	P03004
b3703	rpmH	ECK3695	P0A7P5
b3704	rnpA	ECK3696	P0A7Y8
b4557	yidD	ECK3697	P0A8C8
b3705	yidC	ECK3698	P25714
b3706	mnmE	ECK3699	P25522
b3707	tnaC	ECK3700	P0AD89
b3708	tnaA	ECK3701	P0A853
b3709	tnaB	ECK3702	P23173
b3710	mdtL	ECK3703	P31462
b3711	yidZ	ECK3704	P31463
b3712	yieE	ECK3705	P0ADM8
b3713	chrR	ECK3706	P0AGE6
b3714	purP	ECK3707	P31466
b3715	yieH	ECK3708	P31467
b3716	cbrB	ECK3709	P31468
b3717	cbrC	ECK3710	P31469
b3718	yieK	ECK3711	P31470
b3719	yieL	ECK3712	P31471
b3720	bglH	ECK3713	P26218
b3721	bglB	ECK3714	P11988
b3722	bglF	ECK3715	P08722
b3723	bglG	ECK3716	P11989
b3724	phoU	ECK3717	P0A9K7
b3725	pstB	ECK3718	P0AAH0
b3726	pstA	ECK3719	P07654
b3727	pstC	ECK3720	P0AGH8
b3728	pstS	ECK3721	P0AG82
b3729	glmS	ECK3722	P17169
b3730	glmU	ECK3723	P0ACC7
b3731	atpC	ECK3724	P0A6E6
b3732	atpD	ECK3725	P0ABB4
b3733	atpG	ECK3726	P0ABA6
b3734	atpA	ECK3727	P0ABB0
b3735	atpH	ECK3728	P0ABA4
b3736	atpF	ECK3729	P0ABA0
b3737	atpE	ECK3730	P68699
b3738	atpB	ECK3731	P0AB98
b3739	atpI	ECK3732	P0ABC0
b3740	rsmG	ECK3733	P0A6U5
b3741	mnmG	ECK3734	P0A6U3
b3742	mioC	ECK3736	P03817
b3743	asnC	ECK3737	P0ACI6
b3744	asnA	ECK3738	P00963
b3745	viaA	ECK3739	P0ADN0
b3746	ravA	ECK3740	P31473
b3747	kup	ECK3741	P63183
b3748	rbsD	ECK3742	P04982
b3749	rbsA	ECK3743	P04983
b3750	rbsC	ECK3744	P0AGI1
b3751	rbsB	ECK3745	P02925
b3752	rbsK	ECK3746	P0A9J6
b3753	rbsR	ECK3747	P0ACQ0
b3754	hsrA	ECK3748	P31474
b3755	yieP	ECK3749	P31475
b4480	hdfR	ECK3756	P0A8R9
b3764	yifE	ECK3757	P0ADN2
b3765	yifB	ECK3758	P22787
b3766	ilvL	ECK3759	P62522
b4669	ilvX	ECK4484	C1P619
b3769	ilvM	ECK3761	P0ADG1
b3770	ilvE	ECK3762	P0AB80
b3771	ilvD	ECK3763	P05791
b3772	ilvA	ECK3764	P04968
b3773	ilvY	ECK3765	P05827
b3774	ilvC	ECK3766	P05793
b3775	ppiC	ECK3767	P0A9L5
b3778	rep	ECK3770	P09980
b3779	gpp	ECK3771	P25552
b3780	rhlB	ECK3772	P0A8J8
b3781	trxA	ECK3773	P0AA25
b3783	rho	ECK3775	P0AG30
b3784	wecA	ECK3776	P0AC78
b3785	wzzE	ECK3777	P0AG00
b3786	wecB	ECK3778	P27828
b3787	wecC	ECK3779	P27829
b3788	rffG	ECK3780	P27830
b3789	rffH	ECK3781	P61887
b3790	wecD	ECK3782	P27832
b3791	wecE	ECK3783	P27833
b3792	wzxE	ECK3784	P0AAA7
b4481	wecF	ECK3785	P56258
b3793	wzyE	ECK3786	P27835
b3794	wecG	ECK3787	P27836
b3795	yifK	ECK3788	P27837
b3800	aslB	ECK3793	P25550
b3801	aslA	ECK3794	P25549
b3802	hemY	ECK3796	P0ACB7
b3803	hemX	ECK3797	P09127
b3804	hemD	ECK3798	P09126
b3805	hemC	ECK3799	P06983
b3806	cyaA	ECK3800	P00936
b3807	cyaY	ECK3801	P27838
b4558	yifL	ECK3803	P0ADN6
b3809	dapF	ECK3804	P0A6K1
b3810	yigA	ECK3805	P23305
b3811	xerC	ECK3806	P0A8P6
b3812	yigB	ECK3807	P0ADP0
b3813	uvrD	ECK3808	P03018
b4482	yigE	ECK3809	P27840
b3816	corA	ECK3810	P0ABI4
b3817	yigF	ECK3811	P27842
b3818	yigG	ECK3812	P27843
b3819	rarD	ECK3813	P27844
b3820	yigI	ECK3814	P0ADP2
b3821	pldA	ECK3815	P0A921
b3822	recQ	ECK3816	P15043
b3823	rhtC	ECK3817	P0AG38
b3824	rhtB	ECK3818	P0AG34
b3825	pldB	ECK3819	P07000
b3826	yigL	ECK3820	P27848
b3827	yigM	ECK3821	P0ADP5
b3828	metR	ECK3822	P0A9F9
b3829	metE	ECK3823	P25665
b3830	ysgA	ECK3824	P56262
b3831	udp	ECK3825	P12758
b3832	rmuC	ECK3826	P0AG71
b3833	ubiE	ECK3827	P0A887
b3834	ubiJ	ECK3828	P0ADP7
b3835	ubiB	ECK3829	P0A6A0
b3836	tatA	ECK3830	P69428
b3838	tatB	ECK3831	P69425
b3839	tatC	ECK3832	P69423
b4483	tatD	ECK3833	P27859
b3842	rfaH	ECK3834	P0AFW0
b3843	ubiD	ECK3835	P0AAB4
b3844	fre	ECK3836	P0AEN1
b3845	fadA	ECK3837	P21151
b3846	fadB	ECK3838	P21177
b3847	pepQ	ECK3839	P21165
b3848	yigZ	ECK3840	P27862
b3849	trkH	ECK3841	P0AFZ7
b3850	hemG	ECK3842	P0ACB4
b3856	mobB	ECK3848	P32125
b3857	mobA	ECK3849	P32173
b3858	yihD	ECK3850	P0ADP9
b3859	srkA	ECK3851	P0C0K3
b3860	dsbA	ECK3852	P0AEG4
b3861	yihF	ECK3853	P32128
